mu_est_i,lat,lon,city,A_growth_i,country,location
0,-31.961646,115.831681,Perth,0.053306474,Australia,Perth
0.05,-31.961646,115.831681,Perth,0.043409876,Australia,Perth
0.1,-31.961646,115.831681,Perth,0.035515852,Australia,Perth
0.15,-31.961646,115.831681,Perth,0.028990634,Australia,Perth
0.2,-31.961646,115.831681,Perth,0.023442588,Australia,Perth
0.25,-31.961646,115.831681,Perth,0.0186183,Australia,Perth
0.3,-31.961646,115.831681,Perth,0.014345114,Australia,Perth
0.35,-31.961646,115.831681,Perth,0.010499933,Australia,Perth
0.4,-31.961646,115.831681,Perth,0.006991454,Australia,Perth
0.45,-31.961646,115.831681,Perth,0.003749438,Australia,Perth
0.5,-31.961646,115.831681,Perth,0.000717836,Australia,Perth
0.55,-31.961646,115.831681,Perth,-0.002149924,Australia,Perth
0.6,-31.961646,115.831681,Perth,-0.004894458,Australia,Perth
0.65,-31.961646,115.831681,Perth,-0.007553424,Australia,Perth
0.7,-31.961646,115.831681,Perth,-0.010164597,Australia,Perth
0.75,-31.961646,115.831681,Perth,-0.012769842,Australia,Perth
0.8,-31.961646,115.831681,Perth,-0.015421622,Australia,Perth
0.85,-31.961646,115.831681,Perth,-0.018196192,Australia,Perth
0.9,-31.961646,115.831681,Perth,-0.021227364,Australia,Perth
0.95,-31.961646,115.831681,Perth,-0.024826444,Australia,Perth
0,-33.95,22.46,George,0.043990667,South Africa,George
0.05,-33.95,22.46,George,0.034067101,South Africa,George
0.1,-33.95,22.46,George,0.026416536,South Africa,George
0.15,-33.95,22.46,George,0.020277724,South Africa,George
0.2,-33.95,22.46,George,0.015188122,South Africa,George
0.25,-33.95,22.46,George,0.010855172,South Africa,George
0.3,-33.95,22.46,George,0.007084672,South Africa,George
0.35,-33.95,22.46,George,0.00374189,South Africa,George
0.4,-33.95,22.46,George,0.000729584,South Africa,George
0.45,-33.95,22.46,George,-0.002025073,South Africa,George
0.5,-33.95,22.46,George,-0.004578684,South Africa,George
0.55,-33.95,22.46,George,-0.006977073,South Africa,George
0.6,-33.95,22.46,George,-0.00925919,South Africa,George
0.65,-33.95,22.46,George,-0.011460252,South Africa,George
0.7,-33.95,22.46,George,-0.013614769,South Africa,George
0.75,-33.95,22.46,George,-0.015760229,South Africa,George
0.8,-33.95,22.46,George,-0.017942909,South Africa,George
0.85,-33.95,22.46,George,-0.020229487,South Africa,George
0.9,-33.95,22.46,George,-0.022736539,South Africa,George
0.95,-33.95,22.46,George,-0.025734467,South Africa,George
0,-29.85,31.01,Durban,0.056845809,South Africa,Durban
0.05,-29.85,31.01,Durban,0.046783517,South Africa,Durban
0.1,-29.85,31.01,Durban,0.03850459,South Africa,Durban
0.15,-29.85,31.01,Durban,0.031557983,South Africa,Durban
0.2,-29.85,31.01,Durban,0.025616519,South Africa,Durban
0.25,-29.85,31.01,Durban,0.020443888,South Africa,Durban
0.3,-29.85,31.01,Durban,0.015867431,South Africa,Durban
0.35,-29.85,31.01,Durban,0.011758639,South Africa,Durban
0.4,-29.85,31.01,Durban,0.008019712,South Africa,Durban
0.45,-29.85,31.01,Durban,0.004574333,South Africa,Durban
0.5,-29.85,31.01,Durban,0.001361213,South Africa,Durban
0.55,-29.85,31.01,Durban,-0.001670601,South Africa,Durban
0.6,-29.85,31.01,Durban,-0.00456534,South Africa,Durban
0.65,-29.85,31.01,Durban,-0.007363621,South Africa,Durban
0.7,-29.85,31.01,Durban,-0.010105586,South Africa,Durban
0.75,-29.85,31.01,Durban,-0.012834824,South Africa,Durban
0.8,-29.85,31.01,Durban,-0.015604526,South Africa,Durban
0.85,-29.85,31.01,Durban,-0.018489444,South Africa,Durban
0.9,-29.85,31.01,Durban,-0.021614881,South Africa,Durban
0.95,-29.85,31.01,Durban,-0.025251291,South Africa,Durban
0,-26.16,28.06,Johannesburg,0.051453853,South Africa,Johannesburg
0.05,-26.16,28.06,Johannesburg,0.041676098,South Africa,Johannesburg
0.1,-26.16,28.06,Johannesburg,0.033956914,South Africa,Johannesburg
0.15,-26.16,28.06,Johannesburg,0.027593264,South Africa,Johannesburg
0.2,-26.16,28.06,Johannesburg,0.022185756,South Africa,Johannesburg
0.25,-26.16,28.06,Johannesburg,0.017484724,South Africa,Johannesburg
0.3,-26.16,28.06,Johannesburg,0.013321852,South Africa,Johannesburg
0.35,-26.16,28.06,Johannesburg,0.009577299,South Africa,Johannesburg
0.4,-26.16,28.06,Johannesburg,0.006162034,South Africa,Johannesburg
0.45,-26.16,28.06,Johannesburg,0.003007413,South Africa,Johannesburg
0.5,-26.16,28.06,Johannesburg,5.86E-05,South Africa,Johannesburg
0.55,-26.16,28.06,Johannesburg,-0.002730185,South Africa,Johannesburg
0.6,-26.16,28.06,Johannesburg,-0.00539865,South Africa,Johannesburg
0.65,-26.16,28.06,Johannesburg,-0.007983754,South Africa,Johannesburg
0.7,-26.16,28.06,Johannesburg,-0.010522477,South Africa,Johannesburg
0.75,-26.16,28.06,Johannesburg,-0.013055733,South Africa,Johannesburg
0.8,-26.16,28.06,Johannesburg,-0.015634718,South Africa,Johannesburg
0.85,-26.16,28.06,Johannesburg,-0.018333926,South Africa,Johannesburg
0.9,-26.16,28.06,Johannesburg,-0.02128504,South Africa,Johannesburg
0.95,-26.16,28.06,Johannesburg,-0.024801094,South Africa,Johannesburg
0,33.54,-117.74,Laguna Beach,0.047221692,USA,Laguna Beach
0.05,33.54,-117.74,Laguna Beach,0.037454204,USA,Laguna Beach
0.1,33.54,-117.74,Laguna Beach,0.029768911,USA,Laguna Beach
0.15,33.54,-117.74,Laguna Beach,0.023506934,USA,Laguna Beach
0.2,33.54,-117.74,Laguna Beach,0.018251997,USA,Laguna Beach
0.25,33.54,-117.74,Laguna Beach,0.013734102,USA,Laguna Beach
0.3,33.54,-117.74,Laguna Beach,0.00977079,USA,Laguna Beach
0.35,33.54,-117.74,Laguna Beach,0.00623362,USA,Laguna Beach
0.4,33.54,-117.74,Laguna Beach,0.003028688,USA,Laguna Beach
0.45,33.54,-117.74,Laguna Beach,8.48E-05,USA,Laguna Beach
0.5,33.54,-117.74,Laguna Beach,-0.002653899,USA,Laguna Beach
0.55,33.54,-117.74,Laguna Beach,-0.005233254,USA,Laguna Beach
0.6,33.54,-117.74,Laguna Beach,-0.007692521,USA,Laguna Beach
0.65,33.54,-117.74,Laguna Beach,-0.010067535,USA,Laguna Beach
0.7,33.54,-117.74,Laguna Beach,-0.012393665,USA,Laguna Beach
0.75,33.54,-117.74,Laguna Beach,-0.014709533,USA,Laguna Beach
0.8,33.54,-117.74,Laguna Beach,-0.017062969,USA,Laguna Beach
0.85,33.54,-117.74,Laguna Beach,-0.019523034,USA,Laguna Beach
0.9,33.54,-117.74,Laguna Beach,-0.022210856,USA,Laguna Beach
0.95,33.54,-117.74,Laguna Beach,-0.025409921,USA,Laguna Beach
0,34.13,-118.11,San Marino,0.047288926,USA,San Marino
0.05,34.13,-118.11,San Marino,0.037603053,USA,San Marino
0.1,34.13,-118.11,San Marino,0.029999901,USA,San Marino
0.15,34.13,-118.11,San Marino,0.023799119,USA,San Marino
0.2,34.13,-118.11,San Marino,0.01858352,USA,San Marino
0.25,34.13,-118.11,San Marino,0.014087316,USA,San Marino
0.3,34.13,-118.11,San Marino,0.010132489,USA,San Marino
0.35,34.13,-118.11,San Marino,0.006594141,USA,San Marino
0.4,34.13,-118.11,San Marino,0.003380962,USA,San Marino
0.45,34.13,-118.11,San Marino,0.000423604,USA,San Marino
0.5,34.13,-118.11,San Marino,-0.002332624,USA,San Marino
0.55,34.13,-118.11,San Marino,-0.00493267,USA,San Marino
0.6,34.13,-118.11,San Marino,-0.007415318,USA,San Marino
0.65,34.13,-118.11,San Marino,-0.00981616,USA,San Marino
0.7,34.13,-118.11,San Marino,-0.012170538,USA,San Marino
0.75,34.13,-118.11,San Marino,-0.014517265,USA,San Marino
0.8,34.13,-118.11,San Marino,-0.016904602,USA,San Marino
0.85,34.13,-118.11,San Marino,-0.019402327,USA,San Marino
0.9,34.13,-118.11,San Marino,-0.022132561,USA,San Marino
0.95,34.13,-118.11,San Marino,-0.025379094,USA,San Marino
0,34.33,-119.11,Santa Paula,0.04060179,USA,Santa Paula
0.05,34.33,-119.11,Santa Paula,0.03136377,USA,Santa Paula
0.1,34.33,-119.11,Santa Paula,0.024410639,USA,Santa Paula
0.15,34.33,-119.11,Santa Paula,0.018837436,USA,Santa Paula
0.2,34.33,-119.11,Santa Paula,0.014179815,USA,Santa Paula
0.25,34.33,-119.11,Santa Paula,0.01017159,USA,Santa Paula
0.3,34.33,-119.11,Santa Paula,0.006644685,USA,Santa Paula
0.35,34.33,-119.11,Santa Paula,0.003484952,USA,Santa Paula
0.4,34.33,-119.11,Santa Paula,0.000610375,USA,Santa Paula
0.45,34.33,-119.11,Santa Paula,-0.002040809,USA,Santa Paula
0.5,34.33,-119.11,Santa Paula,-0.004517184,USA,Santa Paula
0.55,34.33,-119.11,Santa Paula,-0.006858747,USA,Santa Paula
0.6,34.33,-119.11,Santa Paula,-0.009100204,USA,Santa Paula
0.65,34.33,-119.11,Santa Paula,-0.011273687,USA,Santa Paula
0.7,34.33,-119.11,Santa Paula,-0.013411501,USA,Santa Paula
0.75,34.33,-119.11,Santa Paula,-0.015549646,USA,Santa Paula
0.8,34.33,-119.11,Santa Paula,-0.01773359,USA,Santa Paula
0.85,34.33,-119.11,Santa Paula,-0.020030067,USA,Santa Paula
0.9,34.33,-119.11,Santa Paula,-0.02255751,USA,Santa Paula
0.95,34.33,-119.11,Santa Paula,-0.025594922,USA,Santa Paula
